id,request_id,video_id,percent_watched,completed_at,last_event_at,metadata,created_at,updated_at
a545c773-73b0-4756-bb7a-38ee9b459136,be980477-59d6-4394-9c9a-93418c531be1,jhx3bbqb9a,100.00,2026-07-30 02:41:12.941+00,2026-07-30 02:41:36.99+00,{},2026-07-28 06:51:48.210679+00,2026-07-30 02:41:36.993677+00
fea0d23a-5406-49c0-b9d0-5049902d6f1e,66d33a99-b11e-444e-8496-450e5561103b,jhx3bbqb9a,100.00,2026-07-23 17:51:15.738+00,2026-07-23 17:51:41.291+00,{},2026-07-23 17:44:15.92854+00,2026-07-23 17:51:41.300824+00
ac2f3554-1ce2-4bde-8281-19ed992adb42,8f0ae694-097d-4b25-9243-dc0534d35526,jhx3bbqb9a,100.00,2026-07-30 12:08:41.65+00,2026-07-30 12:45:24.215+00,{},2026-07-30 11:58:07.369621+00,2026-07-30 12:45:24.223193+00
35a4133c-b9c9-4b3d-a8be-9f2bf23d5246,053bb80e-c1c9-44de-b855-7f96801d33dc,jhx3bbqb9a,99.00,2026-07-30 13:39:30.782+00,2026-07-30 13:57:35.892+00,{},2026-07-30 07:08:02.83523+00,2026-07-30 13:57:35.894264+00
d907bf35-200d-47e0-886e-dbdf91efebfa,b55d102b-c2a2-44fa-ad73-8e4b8831002b,jhx3bbqb9a,100.00,2026-07-30 12:30:50.384+00,2026-07-30 13:09:37.596+00,{},2026-07-30 12:21:42.274553+00,2026-07-30 13:09:37.602919+00
19a1b1c4-8d91-457f-9de0-a6ab0500502b,6c6059ac-4461-4412-9999-3e5e1040c010,jhx3bbqb9a,100.00,2026-07-30 12:39:13.24+00,2026-07-30 13:15:14.678+00,{},2026-07-30 12:22:35.353598+00,2026-07-30 13:15:14.692212+00
5ff1ffda-a909-421f-9610-ab648e6a15a9,089dc4d5-65aa-40cf-bdd7-e5cb8039c1a0,jhx3bbqb9a,100.00,2026-07-30 12:13:22.177+00,2026-07-30 12:23:10.493+00,{},2026-07-30 12:06:29.711054+00,2026-07-30 12:23:10.501022+00
f24b44a9-ddcc-4cd0-9652-a518ff74723c,7b1eb4f9-0d9b-40e6-822d-33e1e49ddc86,jhx3bbqb9a,100.00,2026-07-30 14:52:10.737+00,2026-07-31 15:52:46.542+00,{},2026-07-30 14:45:17.861295+00,2026-07-31 15:52:46.554639+00
64384137-e193-4171-8b7a-a9f3145fcea6,35cb003d-62ba-42aa-bf09-d5fcd88c805e,jhx3bbqb9a,100.00,2026-07-31 06:30:51.813+00,2026-07-31 07:03:41.192+00,{},2026-07-31 06:24:03.545327+00,2026-07-31 07:03:41.227493+00
20c3d451-abf5-41a7-a3de-01ddb90c6c19,d934330f-49bd-4a98-9527-6e102f4a833f,jhx3bbqb9a,100.00,2026-08-01 17:26:42.168+00,2026-08-01 17:44:58.064+00,{},2026-08-01 17:19:49.677617+00,2026-08-01 17:44:58.074618+00
